free_course,school,difficulty,skills,description,full_url,nd_url,nd_name
Artificial Intelligence,School of Artificial Intelligence,advanced,"AI Algorithms, Search Algorithms, Optimization, Planning, Pattern Recognition","Learn essential Artificial Intelligence concepts from AI experts like Peter Norvig and Sebastian Thrun, including search, optimization, planning, pattern recognition, and more.Learn More",https://www.udacity.com/course/artificial-intelligence--ud954,https://www.udacity.com/course/ai-artificial-intelligence-nanodegree--nd898,Artificial Intelligence
Microsoft Power Platform,School of Programming & Development,beginner,"Microsoft Power Platform, Power Apps, Power Automate, Azure AI Builder","Learn to build powerful and effective solutions with ease with Microsoft Power Platform. Created in partnership with the Microsoft Power Platform team, this course will introduce you to efficient low-code solutions for data analytics, app development, and artifical intelligence.Learn More",https://www.udacity.com/course/microsoft-power-platform--ud091,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Web Tooling & Automation,School of Programming & Development,intermediate,"Installing Sublime Text, Installing Plugins, Gulp, Live Editing, ESLint","In this course, you’ll learn how to setup your development environment and save a lot of time and effort with automatic optimization.Learn More",https://www.udacity.com/course/web-tooling-automation--ud892,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Front End Frameworks,School of Programming & Development,advanced,"Single Page Applications, Building Angular apps, Building Ember apps, Underscore's template function, Backbone events and routing","Explore and build interactive, single-page applications with popular JavaScript frameworks!Learn More",https://www.udacity.com/course/front-end-frameworks--ud894,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Responsive Web Design Fundamentals,School of Programming & Development,intermediate,"Responsive design patterns, Remote debugging and emulation, Optimizing layout, CSS media queries, CSS flexbox",Learn and practice strategies for developing websites that look great on every device! Made with Google's Pete LePage.Learn More,https://www.udacity.com/course/responsive-web-design-fundamentals--ud893,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Linux Command Line Basics,School of Programming & Development,beginner,"Command line interface (Linux server), Terminal and Shell (GNU Bash), Linux filesystem, Shell commands",An introduction to the Linux command line interface.Learn More,https://www.udacity.com/course/linux-command-line-basics--ud595,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
How to Install Android Studio,School of Programming & Development,beginner,"Android, Android Studio, Java",Participate in this short tutorial to install Android Studio on your computer and set up a new project using the program's Project Wizard.Learn More,https://www.udacity.com/course/how-to-install-android-studio--ud808,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Android Kotlin Developer
Android Basics: Multiscreen Apps,School of Programming & Development,beginner,"Android Development, Intents and Activities, Data, Loops and Custom Classes, Images and Visual Polish, Audio and Libraries","Learn to build multiple screens and link them together, expanding the range of apps you can create! You'll also learn how to play audio and add images to your apps.Learn More",https://www.udacity.com/course/android-basics-multiscreen-apps--ud839,https://www.udacity.com/course/android-basics-nanodegree-by-google--nd803,Android Basics
Website Performance Optimization,School of Programming & Development,intermediate,"Chrome Developer Tools, DOM and CSSOM, Critical Rendering Path HTML, CSS and JavaScript optimizations","Learn how browsers convert HTML, CSS and JavaScript into websites while you experiment with Chrome Developer Tools to measure and optimize website speed!Learn More",https://www.udacity.com/course/website-performance-optimization--ud884,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
iOS Networking with Swift,School of Programming & Development,advanced,"Networking, URLSession, JSON Parsing",Learn how to incorporate networking into your apps to access data from around the world. Build the On the Map app to share location and fun links with fellow students.Learn More,https://www.udacity.com/course/ios-networking-with-swift--ud421,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
JavaScript Design Patterns,School of Programming & Development,advanced,"Separating concerns, Code organization, Using an Organizational Library, KnockoutJS",Learn the importance of code organization and how to implement it with either vanilla JavaScript or an organizational library or framework.Learn More,https://www.udacity.com/course/javascript-design-patterns--ud989,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Android Basics: User Input,School of Programming & Development,beginner,"Android Development, Java, Object Oriented Programming, Conditional Code, Methods, Variables",Learn how to make your apps interactive using buttons and text! In this course you'll learn the basics of the Java programming language and how to apply them to Android.Learn More,https://www.udacity.com/course/android-basics-user-input--ud836,https://www.udacity.com/course/android-basics-nanodegree-by-google--nd803,Android Basics
Android Performance,School of Programming & Development,advanced,"Android Development, Performance, Optimization","Performance matters to users, so it must matter to you. Learn how to identify and fix bottlenecks in your Android applications, and ensure a smooth user experience.Learn More",https://www.udacity.com/course/android-performance--ud825,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Android Kotlin Developer
Responsive Images,School of Programming & Development,intermediate,"Responsive Images, Mobile Image debugging, Creating responsive graphics",Go beyond image tags! Learn how to make images a part of your responsive design workflow.Learn More,https://www.udacity.com/course/responsive-images--ud882,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Xcode Debugging,School of Programming & Development,advanced,"Debugging, LLDB","In this course, you'll learn standard methodologies for debugging software, and how to use Xcode's debugging tools to find and squash bugs.Learn More",https://www.udacity.com/course/xcode-debugging--ud774,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
Gradle for Android and Java,School of Programming & Development,advanced,"Android Development, Gradle, Java",Build bigger and better Android and Java apps using the Gradle build tool.Learn More,https://www.udacity.com/course/gradle-for-android-and-java--ud867,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Android Kotlin Developer
Build Native Mobile Apps with Flutter,School of Programming & Development,intermediate,Android Development,Learn from experts at Google how to use Flutter to craft high-quality native interfaces on iOS and Android devices in record time.Learn More,https://www.udacity.com/course/build-native-mobile-apps-with-flutter--ud905,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Android Kotlin Developer
JavaScript Promises,School of Programming & Development,advanced,"Native JavaScript Promises, Asynchronous code, Advanced error handling, Generating sequences of async work",Learn how to simplify asynchronous work with Native JavaScript Promises!Learn More,https://www.udacity.com/course/javascript-promises--ud898,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
UIKit Fundamentals,School of Programming & Development,intermediate,"AutoLayout, Navigation, Table Views, Collection Views","Learn the iOS UIKit framework, which is the cornerstone of creating user interfaces in all iOS apps and crucial for any iOS Developer to be intimately familiar with.Learn More",https://www.udacity.com/course/uikit-fundamentals--ud788,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,Introduction to Programming
