nd_course,nd_course_desc,nd_course_first_proj,nd_url,nd_name,school,difficulty
Data Modeling,Learn to create relational and NoSQL data models to fit the diverse needs of data consumers. Use ETL to build databases in PostgreSQL and Apache Cassandra.,Data Modeling with Postgres,https://www.udacity.com/course/data-engineer-nanodegree--nd027,Data Engineer,School of Data Science,intermediate
Cloud Data Warehouses,Sharpen your data warehousing skills and deepen your understanding of data infrastructure. Create cloud-based data warehouses on Amazon Web Services (AWS).,Build a Cloud Data Warehouse,https://www.udacity.com/course/data-engineer-nanodegree--nd027,Data Engineer,School of Data Science,intermediate
Spark and Data Lakes,Understand the big data ecosystem and how to use Spark to work with massive datasets. Store big data in a data lake and query it with Spark.,Build a Data Lake,https://www.udacity.com/course/data-engineer-nanodegree--nd027,Data Engineer,School of Data Science,intermediate
Data Pipelines with Airflow,"Schedule, automate, and monitor data pipelines using Apache Airflow. Run data quality checks, track data lineage, and work with data pipelines in production.",Data Pipelines with Airflow,https://www.udacity.com/course/data-engineer-nanodegree--nd027,Data Engineer,School of Data Science,intermediate
Capstone Project,Combine what you've learned throughout the program to build your own data engineering portfolio project.,Data Engineering Capstone,https://www.udacity.com/course/data-engineer-nanodegree--nd027,Data Engineer,School of Data Science,intermediate
Introduction to Data Analysis,"Learn the data analysis process of wrangling, exploring, analyzing, and communicating data. Work with data in Python, using libraries like NumPy and Pandas.",Explore Weather Trends,https://www.udacity.com/course/data-analyst-nanodegree--nd002,Data Analyst,School of Data Science,intermediate
Practical Statistics,"Learn how to apply inferential statistics and probability to real-world scenarios, such as analyzing A/B tests and building supervised learning models.",Analyze Experiment Results,https://www.udacity.com/course/data-analyst-nanodegree--nd002,Data Analyst,School of Data Science,intermediate
Data Wrangling,"Learn the data wrangling process of gathering, assessing, and cleaning data. Learn to use Python to wrangle data programmatically and prepare it for analysis.",Wrangle and Analyze Data,https://www.udacity.com/course/data-analyst-nanodegree--nd002,Data Analyst,School of Data Science,intermediate
Data Visualization with Python,Learn to apply visualization principles to the data analysis process. Explore data visually at multiple levels to find insights and create a compelling story.,Communicate Data Findings,https://www.udacity.com/course/data-analyst-nanodegree--nd002,Data Analyst,School of Data Science,intermediate
Introduction to SQL,"Learn SQL fundamentals such as JOINs, Aggregations, and Subqueries. Learn how to use SQL to answer complex business problems.",Investigate a Database,https://www.udacity.com/course/programming-for-data-science-nanodegree--nd104,Programming for Data Science with Python,School of Data Science,beginner
Introduction to Python Programming,"Learn Python programming fundamentals such as data structures, variables, loops, and functions. Learn to work with data using libraries like NumPy and Pandas.",Explore US Bikeshare Data,https://www.udacity.com/course/programming-for-data-science-nanodegree--nd104,Programming for Data Science with Python,School of Data Science,beginner
Introduction to Version Control,Learn how to use version control and share your work with other people in the data science industry.,Post your work on Github,https://www.udacity.com/course/programming-for-data-science-nanodegree--nd104,Programming for Data Science with Python,School of Data Science,beginner
Solving Data Science Problems,"Learn the data science process, including how to build effective data visualizations, and how to communicate with various stakeholders.",Write a Data Science Blog Post,https://www.udacity.com/course/data-scientist-nanodegree--nd025,Data Scientist,School of Data Science,advanced
Software Engineering for Data Scientists,"Develop software engineering skills that are essential for data scientists, such as creating unit tests and building classes.",,https://www.udacity.com/course/data-scientist-nanodegree--nd025,Data Scientist,School of Data Science,advanced
