product_name,school_name,full_url,cost,prog_type,difficulty,skills,description
Data Engineer,School of Data Science,https://www.udacity.com/course/data-engineer-nanodegree--nd027,paid,nanodegree,intermediate,"Data Modeling, Data Pipelines, Data Lakes, Spark, Airflow","Data Engineering is the foundation for the new world of Big Data. Enroll now to build production-ready data infrastructure, an essential skill for advancing your data career.Learn More"
Digital Marketing,School of Business,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,paid,nanodegree,beginner,"Digital Marketing, Social Media Marketing, Facebook Marketing, Search Engine Optimization, Search Engine Marketing, Display Ads, Search Ads",Gain real-world experience running live campaigns as you learn from top experts in the field. Launch your career with a 360-degree understanding of digital marketing.Learn More
Introduction to Programming,School of Programming & Development,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,paid,nanodegree,beginner,"Introduction to Programming, HTML, CSS, Python","Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for beginners.Learn More"
Business Analytics,School of Business,https://www.udacity.com/course/business-analytics-nanodegree--nd098,paid,nanodegree,beginner,"Excel & Spreadsheets, SQL, Data Visualization, Data Dashboards","Gain foundational data skills applicable to any industry. Collect and analyze data, model business scenarios, and communicate your findings with SQL, Excel, and Tableau.Learn More"
Data Scientist,School of Data Science,https://www.udacity.com/course/data-scientist-nanodegree--nd025,paid,nanodegree,advanced,"Machine Learning, Deep Learning, Software Engineering","Build effective machine learning models, run data pipelines, build recommendation systems, and deploy solutions to the cloud with industry-aligned projects.Learn More"
Programming for Data Science with Python,School of Data Science,https://www.udacity.com/course/programming-for-data-science-nanodegree--nd104,paid,nanodegree,beginner,"Python, Numpy & Pandas, SQL, Git & GitHub","Learn the fundamental programming tools for data professionals: Python, SQL, the Terminal and Git.Learn More"
Data Analyst,School of Data Science,https://www.udacity.com/course/data-analyst-nanodegree--nd002,paid,nanodegree,intermediate,"Data Wrangling, Matplotlib, Bootstrapping, Pandas & NumPy, Statistics","Use Python, SQL, and statistics to uncover insights, communicate critical findings, and create data-driven solutions.Learn More"
Product Manager,School of Business,https://www.udacity.com/course/product-manager-nanodegree--nd036,paid,nanodegree,beginner,"Product Strategy, Product Design, Product Development, Design Sprint, Product Launch","Envision and execute the development of industry-defining products, and learn how to successfully bring them to market.Learn More"
UX Designer,School of Business,https://www.udacity.com/course/ux-designer-nanodegree--nd578,paid,nanodegree,beginner,"User Research, User Experience, Prototyping, Interactive Design, User Interface Design, Usability Testing",Design impactful user experiences for products in today’s digital world.Learn More
Front End Web Developer,School of Programming & Development,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,paid,nanodegree,intermediate,"JavaScript, HTML, CSS, Webpack, Flexbox, Node, Object-Oriented Programming",Learn how to build high quality websites and dynamic applications to create stunning user experiences for the web.Learn More
Artificial Intelligence for Trading,School of Artificial Intelligence,https://www.udacity.com/course/ai-for-trading--nd880,paid,nanodegree,intermediate,"Momentum Trading Strategy, Smart Beta, Alpha Factors, Natural Language Processing, Deep Learning, Neural Networks","Complete real-world projects designed by industry experts, covering topics from asset management to trading signal generation. Master AI algorithms for trading, and build your career-ready portfolio.Learn More"
AI Programming with Python,School of Artificial Intelligence,https://www.udacity.com/course/ai-programming-python-nanodegree--nd089,paid,nanodegree,beginner,"Python, NumPy, Pandas, Matplotlib, PyTorch","Learn Python, NumPy, Pandas, Matplotlib, PyTorch, Calculus, and Linear Algebra—the foundations for building your own neural network.Learn More"
Machine Learning Engineer,School of Artificial Intelligence,https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t,paid,nanodegree,intermediate,"Machine Learning, Supervised Learning, Unsupervised Learning, Deep Learning","Become a machine learning engineer and apply predictive models to massive data sets in fields like education, finance, healthcare or robotics.Learn More"
