nd_name,school,difficulty,skills,description,full_url,target_student - PD,target_job - PD,cost - ENG,prerequisites - ENG
Data Engineer,School of Data Science,intermediate,"Data Modeling, Data Pipelines, Data Lakes, Spark, Airflow","Data Engineering is the foundation for the new world of Big Data. Enroll now to build production-ready data infrastructure, an essential skill for advancing your data career.Learn More",https://www.udacity.com/course/data-engineer-nanodegree--nd027,,,,
Data Analyst,School of Data Science,intermediate,"Data Wrangling, Matplotlib, Bootstrapping, Pandas & NumPy, Statistics","Use Python, SQL, and statistics to uncover insights, communicate critical findings, and create data-driven solutions.Learn More",https://www.udacity.com/course/data-analyst-nanodegree--nd002,,,,
Programming for Data Science with Python,School of Data Science,beginner,"Python, Numpy & Pandas, SQL, Git & GitHub","Learn the fundamental programming tools for data professionals: Python, SQL, the Terminal and Git.Learn More",https://www.udacity.com/course/programming-for-data-science-nanodegree--nd104,,,,
Data Scientist,School of Data Science,advanced,"Machine Learning, Deep Learning, Software Engineering","Build effective machine learning models, run data pipelines, build recommendation systems, and deploy solutions to the cloud with industry-aligned projects.Learn More",https://www.udacity.com/course/data-scientist-nanodegree--nd025,,,,
Introduction to Programming,School of Programming & Development,beginner,"Introduction to Programming, HTML, CSS, Python","Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for beginners.Learn More",https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,,,,
Business Analytics,School of Business,beginner,"Excel & Spreadsheets, SQL, Data Visualization, Data Dashboards","Gain foundational data skills applicable to any industry. Collect and analyze data, model business scenarios, and communicate your findings with SQL, Excel, and Tableau.Learn More",https://www.udacity.com/course/business-analytics-nanodegree--nd098,,,,
Product Manager,School of Business,beginner,"Product Strategy, Product Design, Product Development, Design Sprint, Product Launch","Envision and execute the development of industry-defining products, and learn how to successfully bring them to market.Learn More",https://www.udacity.com/course/product-manager-nanodegree--nd036,,,,
Digital Marketing,School of Business,beginner,"Digital Marketing, Social Media Marketing, Facebook Marketing, Search Engine Optimization, Search Engine Marketing, Display Ads, Search Ads",Gain real-world experience running live campaigns as you learn from top experts in the field. Launch your career with a 360-degree understanding of digital marketing.Learn More,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,,,,
Artificial Intelligence for Trading,School of Artificial Intelligence,intermediate,"Momentum Trading Strategy, Smart Beta, Alpha Factors, Natural Language Processing, Deep Learning, Neural Networks","Complete real-world projects designed by industry experts, covering topics from asset management to trading signal generation. Master AI algorithms for trading, and build your career-ready portfolio.Learn More",https://www.udacity.com/course/ai-for-trading--nd880,,,,
UX Designer,School of Business,beginner,"User Research, User Experience, Prototyping, Interactive Design, User Interface Design, Usability Testing",Design impactful user experiences for products in today’s digital world.Learn More,https://www.udacity.com/course/ux-designer-nanodegree--nd578,,,,
Front End Web Developer,School of Programming & Development,intermediate,"JavaScript, HTML, CSS, Webpack, Flexbox, Node, Object-Oriented Programming",Learn how to build high quality websites and dynamic applications to create stunning user experiences for the web.Learn More,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,,,,
AI Programming with Python,School of Artificial Intelligence,beginner,"Python, NumPy, Pandas, Matplotlib, PyTorch","Learn Python, NumPy, Pandas, Matplotlib, PyTorch, Calculus, and Linear Algebra—the foundations for building your own neural network.Learn More",https://www.udacity.com/course/ai-programming-python-nanodegree--nd089,,,,
Machine Learning Engineer,School of Artificial Intelligence,intermediate,"Machine Learning, Supervised Learning, Unsupervised Learning, Deep Learning","Become a machine learning engineer and apply predictive models to massive data sets in fields like education, finance, healthcare or robotics.Learn More",https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t,,,,
Deep Learning,School of Artificial Intelligence,intermediate,"Deep Learning, Neural Networks, Jupyter Notebooks, CNNs, GANs",Deep learning is driving advances in artificial intelligence that are changing our world. Enroll now to build and apply your own deep neural networks to produce amazing solutions to important challenges.Learn More,https://www.udacity.com/course/deep-learning-nanodegree--nd101,,,,
C++,School of Autonomous Systems,intermediate,"Data Structures & Algorithms, Memory Management, Concurrency, Object Oriented Programming, C++",Get hands-on experience by building five real-world projects.Learn More,https://www.udacity.com/course/c-plus-plus-nanodegree--nd213,,,,
Full Stack Web Developer,School of Programming & Development,intermediate,"Python, JavaScript, PostgreSQL, Flask, Docker, Kubernetes","Learn to design and develop powerful modern web applications that form the foundation for the apps, websites, and systems that people and businesses use every day.Learn More",https://www.udacity.com/course/full-stack-web-developer-nanodegree--nd0044,,,,
Self Driving Car Engineer,School of Autonomous Systems,advanced,"Computer Vision, Deep Learning, Sensor Fusion, Localization, Self-Driving Cars","Self-driving cars are set to revolutionize the way we live. This is transformational technology, on the cutting-edge of robotics, machine learning, software engineering, and mechanical engineering. In this program, you’ll learn the skills and techniques used by self-driving car teams at the most advanced technology companies in the world.Learn More",https://www.udacity.com/course/self-driving-car-engineer-nanodegree--nd013,,,,
SQL,School of Data Science,beginner,"SQL, PostgreSQL, JOINs, Subqueries, Window Functions, Partitions, Data Cleaning, DDL, DML, Relational and Non-Relational Databases","Master SQL, the core language for Big Data analysis, and enable insight-driven decision-making and strategy for your business.Learn More",https://www.udacity.com/course/learn-sql--nd072,,,,
Data Structures and Algorithms,School of Programming & Development,intermediate,"Data Structures and Algorithms, Problem Solving, Interview Practice Problems, Python",Get hands-on practice with over 100 data structures and algorithm exercises and technical mentor support when needed to help prepare you for interviews and on-the-job scenarios.Learn More,https://www.udacity.com/course/data-structures-and-algorithms-nanodegree--nd256,,,,
Data Product Manager,School of Business,intermediate,"Data Science, Product Management, Product Design, Data Visualization, User Journey Maps","Hone specialized skills in Data Product Management by learning how to apply data science best practices to build data-driven products backed by scalable data strategies to deliver the right experience to the right users, at the right time.Learn More",https://www.udacity.com/course/data-product-manager-nanodegree--nd030,,,,
Activation and Retention Strategy,School of Business,intermediate,"Product Management, Activation Funnels, Retention Analysis, Churn Analysis, Segment Analysis, User Engagement, Cohort Analysis","Hone specialized Product Management skills in activation and retention strategy. Guide users through the activation funnel as fast as possible, so they reach your product’s aha-moment, and deploy experiments to improve customer lifetime value and decrease churn.Learn More",https://www.udacity.com/course/activation-and-retention-strategy--nd037-2,,,,
Java Developer,School of Programming & Development,intermediate,"Java, Spring Boot, Rest API, MySQL, MongoDB",Learn back-end development with the Java programming languageLearn More,https://www.udacity.com/course/java-developer-nanodegree--nd035,,,,
Deep Reinforcement Learning,School of Artificial Intelligence,advanced,"Reinforcement Learning, Neural Networks, PyTorch, Deep Q-Networks (DQN), Deep Deterministic Policy Gradients (DDPG)",Master the deep reinforcement learning skills that are powering amazing advances in AI. Then start applying these to applications like video games and robotics.Learn More,https://www.udacity.com/course/deep-reinforcement-learning-nanodegree--nd893,,,,
Cloud DevOps Engineer,School of Cloud Computing,intermediate,"AWS, Configuration Management with Ansible, Continuous Integration / Continuous Deployment, Microservices with Kubernetes, CloudFormation","Companies are looking for talented DevOps engineers to remain competitive in this agile world. Enroll now to operationalize infrastructure at scale and deliver applications and services at high velocity, an essential skill for advancing your career.Learn More",https://www.udacity.com/course/cloud-dev-ops-nanodegree--nd9991,,,,
iOS Developer,School of Programming & Development,intermediate,"Swift programming, Core Data, UIKit, iOS networking, app publishing, User interfaces, Local Persistence, APIs","Master the Swift programming language, and create a portfolio of iOS apps for iPhone and iPad to showcase your skills!Learn More",https://www.udacity.com/course/ios-developer-nanodegree--nd003,,,,
Blockchain Developer,School of Programming & Development,intermediate,"Ethereum Blockchain, Blockchain Architecture, Data Auditing","Demand for blockchain developers is skyrocketing. In this program, you'll work with the Bitcoin and Ethereum protocols, build projects for real-world application, and gain the essential skills for a career in this dynamic space.Learn More",https://www.udacity.com/course/blockchain-developer-nanodegree--nd1309,,,,
